Customer ID,InvoiceDate,Recency,Purchase_Frequency,Monetary_Value,R_Score,F_Score,M_Score,RFM_Score,Segment
12457,04-10-2011 13:13,66,8,2995.91,3,4,5,345,At Risk
12458,29-09-2011 15:25,71,4,1777.49,3,3,4,334,At Risk
12459,13-04-2010 14:53,605,1,454.36,1,1,2,112,Others
12460,09-09-2010 13:51,456,1,326.65,1,1,2,112,Others
12461,06-09-2011 16:57,94,2,826.88,3,2,3,323,Lost Customers
12462,21-11-2011 09:11,19,2,1189.59,5,2,3,523,Lost Customers
12463,17-10-2011 13:44,53,4,1344.78,4,3,4,434,At Risk
12464,29-11-2011 13:33,10,8,1212.05,5,4,3,543,At Risk
12465,22-11-2011 16:34,17,2,742.19,5,2,3,523,Lost Customers
12466,26-01-2010 16:26,682,1,56.73,1,1,1,111,Others
12467,12-10-2010 15:41,423,1,132.8,1,1,1,111,Others
12468,05-06-2011 11:36,188,5,3670.74,3,4,5,345,At Risk
12469,05-07-2010 12:40,523,2,3070.54,1,2,5,125,Others
12470,19-01-2010 11:01,690,1,211.95,1,1,1,111,Others
12471,07-12-2011 15:43,2,79,39918.19,5,5,5,555,At Risk
12472,07-11-2011 14:01,32,19,16249.29,4,5,5,455,At Risk
12473,10-11-2011 13:46,29,5,3928.05,4,4,5,445,At Risk
12474,22-11-2011 14:39,17,31,12372.75,5,5,5,555,At Risk
12475,17-10-2011 10:10,54,2,1149.64,4,2,3,423,Lost Customers
12476,24-11-2011 12:40,16,23,14083.91,5,5,5,555,At Risk
12477,17-11-2011 09:51,23,9,20276.37,4,5,5,455,At Risk
12478,06-12-2011 09:56,4,1,680.99,5,1,3,513,Lost Customers
12479,28-11-2011 13:26,11,1,527.2,5,1,2,512,Lost Customers
12480,11-11-2011 14:52,28,7,5464.85,4,4,5,445,At Risk
12481,17-11-2011 08:29,23,15,12185.51,4,5,5,455,At Risk
12482,12-05-2010 16:51,576,29,23691.4,1,5,5,155,Champions
12483,22-11-2011 17:02,17,19,5097.18,5,5,5,555,At Risk
12484,07-11-2011 11:37,33,12,6354.1,4,5,5,455,At Risk
12485,28-06-2010 15:22,529,1,708.1,1,1,3,113,Others
12486,04-10-2010 12:14,432,1,1037.28,1,1,3,113,Others
12487,09-12-2009 11:36,731,1,285.3,1,1,1,111,Others
12488,30-11-2011 08:50,10,3,1298.66,5,3,4,534,At Risk
12489,07-01-2011 13:13,336,1,334.93,2,1,2,212,Lost Customers
12490,04-12-2011 16:07,5,21,9823.64,5,5,5,555,At Risk
12491,01-11-2011 12:18,39,1,460.4,4,1,2,412,Lost Customers
12492,07-10-2011 15:15,63,3,715.21,3,3,3,333,At Risk
12493,27-06-2011 10:17,166,2,433.74,3,2,2,322,Lost Customers
12494,24-11-2011 09:34,16,9,1815.27,5,5,4,554,At Risk
12495,09-03-2010 10:53,641,1,357.4,1,1,2,112,Others
12496,29-03-2010 14:06,620,2,45.34,1,2,1,121,Others
12497,19-09-2011 12:29,82,3,6248.5,3,3,5,335,At Risk
12498,18-11-2011 12:53,21,3,403.7,4,3,2,432,At Risk
12499,28-05-2010 15:12,560,1,393.72,1,1,2,112,Others
12500,16-11-2011 16:20,23,19,5955.21,4,5,5,455,At Risk
12501,07-01-2011 12:28,337,1,2169.39,2,1,4,214,Lost Customers
12502,05-09-2011 11:52,96,5,3723.87,3,4,5,345,At Risk
12503,04-05-2010 13:59,584,1,1126,1,1,3,113,Others
12504,21-11-2011 16:02,18,4,779.05,5,3,3,533,At Risk
12505,27-10-2010 09:18,409,1,955.2,2,1,3,213,Lost Customers
12506,21-04-2011 08:54,233,1,73.5,2,1,1,211,Lost Customers
12507,28-07-2011 17:09,134,4,1844.06,3,3,4,334,At Risk
12508,13-11-2011 15:37,26,2,397.88,4,2,2,422,Lost Customers
12509,28-02-2011 14:45,284,1,176.5,2,1,1,211,Lost Customers
12510,20-07-2011 10:15,143,9,5178.02,3,5,5,355,At Risk
12511,07-10-2010 10:39,429,1,3084.02,1,1,5,115,Others
12512,04-10-2011 14:55,66,2,132.18,3,2,1,321,Lost Customers
12513,19-08-2011 10:51,113,1,612.29,3,1,3,313,Lost Customers
12514,17-03-2011 16:38,267,2,1597.76,2,2,4,224,Lost Customers
12515,21-12-2010 15:43,353,1,383.7,2,1,2,212,Lost Customers
12516,23-09-2011 09:13,78,4,2648.62,3,3,4,334,At Risk
12517,11-11-2011 14:04,28,5,2481.6,4,4,4,444,At Risk
12518,09-12-2011 10:13,1,5,2056.89,5,4,4,544,At Risk
12519,07-10-2011 09:26,64,2,716.54,3,2,3,323,Lost Customers
12520,21-09-2011 15:23,79,5,2634.26,3,4,4,344,At Risk
12521,20-07-2011 10:51,143,1,599.68,3,1,2,312,Lost Customers
12522,31-10-2011 15:30,39,2,192.72,4,2,1,421,Lost Customers
12523,20-11-2011 12:55,19,23,4352.35,5,5,5,555,At Risk
12524,30-11-2011 15:31,9,17,11126.11,5,5,5,555,At Risk
12525,29-07-2010 16:08,498,3,973.73,1,3,3,133,Loyal Customers
12526,09-12-2011 12:09,1,3,1316.66,5,3,4,534,At Risk
12527,19-09-2011 11:55,82,5,735.51,3,4,3,343,At Risk
12528,30-11-2011 14:40,9,6,1933.48,5,4,4,544,At Risk
12529,29-06-2010 13:10,528,1,316.48,1,1,2,112,Others
12530,11-10-2011 12:34,60,9,3759.26,3,5,5,355,At Risk
12531,25-11-2011 11:12,15,2,1933.2,5,2,4,524,Lost Customers
12532,09-11-2011 13:47,30,1,349.83,4,1,2,412,Lost Customers
12533,22-03-2010 10:56,628,2,1367.89,1,2,4,124,Others
12534,01-08-2011 10:26,131,1,1089.18,3,1,3,313,Lost Customers
12535,09-09-2011 08:48,92,2,716.35,3,2,3,323,Lost Customers
12536,27-10-2011 14:20,43,3,12601.83,4,3,5,435,At Risk
12537,27-10-2010 08:36,409,1,732.94,2,1,3,213,Lost Customers
12538,10-11-2011 17:16,29,2,640.45,4,2,3,423,Lost Customers
12539,17-11-2011 13:30,22,7,11214.75,4,4,5,445,At Risk
12540,20-11-2011 11:31,20,33,22254.49,4,5,5,455,At Risk
12541,10-11-2011 10:40,30,3,981.18,4,3,3,433,At Risk
12542,12-08-2010 19:12,484,2,481.88,1,2,2,122,Others
12543,17-09-2010 15:51,448,1,980.25,1,1,3,113,Others
12544,03-11-2011 16:15,36,1,372.7,4,1,2,412,Lost Customers
12545,25-09-2011 13:39,75,2,1000.39,3,2,3,323,Lost Customers
12546,24-10-2011 12:09,47,2,1161.5,4,2,3,423,Lost Customers
12547,26-05-2011 12:38,198,3,383.58,2,3,2,232,At Risk
12548,26-06-2011 15:35,166,1,95.2,3,1,1,311,Lost Customers
12549,13-05-2010 12:05,576,6,1575.68,1,4,4,144,Champions
12550,21-09-2011 14:35,79,1,964.83,3,1,3,313,Lost Customers
12551,17-12-2010 11:23,358,1,168,2,1,1,211,Lost Customers
12552,01-11-2011 10:02,39,2,437.82,4,2,2,422,Lost Customers
12553,01-12-2011 16:38,8,12,4608.75,5,5,5,555,At Risk
12554,17-09-2010 12:29,449,1,468.5,1,1,2,112,Others
12555,26-01-2010 16:26,682,1,129.23,1,1,1,111,Others
12556,20-10-2011 13:06,50,2,599.56,4,2,2,422,Lost Customers
12557,23-11-2011 16:59,16,8,18096.14,5,4,5,545,At Risk
12558,02-12-2011 10:41,8,1,269.96,5,1,1,511,Lost Customers
12559,02-02-2011 09:49,311,2,561.71,2,2,2,222,Lost Customers
12560,04-12-2011 13:54,5,3,2134.01,5,3,4,534,At Risk
12561,10-02-2011 11:39,303,1,238.85,2,1,1,211,Lost Customers
12562,01-12-2011 17:20,8,9,4966.92,5,5,5,555,At Risk
12563,27-10-2010 09:52,409,1,249.24,2,1,1,211,Lost Customers
12564,23-03-2011 14:55,261,1,456.9,2,1,2,212,Lost Customers
12565,24-02-2011 10:34,289,1,145.92,2,1,1,211,Lost Customers
12566,14-09-2011 14:30,86,1,351.65,3,1,2,312,Lost Customers
12567,17-11-2011 11:02,23,15,11767.48,4,5,5,455,At Risk
12568,05-03-2010 09:15,645,1,70,1,1,1,111,Others
12569,07-12-2011 16:24,2,32,4124.69,5,5,5,555,At Risk
12570,26-01-2010 17:28,682,1,77.52,1,1,1,111,Others
12571,31-10-2011 10:19,40,2,519.61,4,2,2,422,Lost Customers
12572,01-12-2011 09:20,9,2,1020.42,5,2,3,523,Lost Customers
12573,26-04-2011 15:52,227,5,717.41,2,4,3,243,At Risk
12574,28-01-2011 09:20,316,1,218.45,2,1,1,211,Lost Customers
12575,08-09-2010 13:09,457,2,622.82,1,2,3,123,Others
12576,04-11-2011 10:11,36,8,2142.72,4,4,4,444,At Risk
12577,04-11-2011 13:24,35,8,1617.1,4,4,4,444,At Risk
12578,18-11-2011 13:30,21,4,4642.45,4,3,5,435,At Risk
12579,22-09-2011 17:15,78,1,440.42,3,1,2,312,Lost Customers
12580,07-04-2011 10:24,247,2,1052.9,2,2,3,223,Lost Customers
12581,31-10-2011 08:56,40,1,197.71,4,1,1,411,Lost Customers
12582,15-04-2011 08:45,239,4,1980.4,2,3,4,234,At Risk
12583,07-12-2011 08:07,3,27,13591.58,5,5,5,555,At Risk
12584,06-12-2011 09:35,4,9,2338.15,5,5,4,554,At Risk
12585,19-04-2011 13:39,234,2,2040.1,2,2,4,224,Lost Customers
12586,22-11-2011 16:24,17,4,2062.67,5,3,4,534,At Risk
12587,02-12-2011 12:47,8,1,144,5,1,1,511,Lost Customers
12588,31-10-2011 15:01,39,4,958.78,4,3,3,433,At Risk
12589,11-11-2011 10:19,29,8,4695.66,4,4,5,445,At Risk
12590,12-05-2011 14:52,211,2,9864.26,2,2,5,225,Lost Customers
12591,26-01-2011 14:35,317,3,1338.95,2,3,4,234,At Risk
12592,08-09-2011 15:04,92,5,2582.66,3,4,4,344,At Risk
12593,23-08-2011 12:43,109,3,418.1,3,3,2,332,At Risk
12594,02-11-2011 12:20,38,15,5090.11,4,5,5,455,At Risk
12595,23-07-2010 09:10,505,1,299.02,1,1,2,112,Others
12596,19-10-2011 13:02,51,2,618.27,4,2,3,423,Lost Customers
12597,20-11-2011 13:33,19,4,3811.22,5,3,5,535,At Risk
12598,30-11-2011 12:18,10,11,4534.09,5,5,5,555,At Risk
12599,10-11-2011 13:34,29,13,2296.72,4,5,4,454,At Risk
12600,11-11-2011 10:29,29,21,4967.42,4,5,5,455,At Risk
12601,03-06-2011 10:17,190,6,681.26,2,4,3,243,At Risk
12602,12-10-2011 11:22,59,1,153.12,4,1,1,411,Lost Customers
12603,18-11-2011 10:42,22,1,739.2,4,1,3,413,Lost Customers
12604,21-09-2011 14:08,79,2,254.18,3,2,1,321,Lost Customers
12605,28-11-2010 14:18,376,4,1232.95,2,3,4,234,At Risk
12606,26-01-2010 16:23,682,1,21,1,1,1,111,Others
12607,10-10-2011 16:06,60,1,1579.51,3,1,4,314,Lost Customers
12608,31-10-2010 10:49,405,1,415.79,2,1,2,212,Lost Customers
12609,22-09-2011 16:34,78,9,3435.86,3,5,5,355,At Risk
12610,17-11-2011 09:34,23,5,2099.54,4,4,4,444,At Risk
12611,18-10-2011 13:12,52,1,1193.32,4,1,3,413,Lost Customers
12612,26-09-2011 15:35,74,1,704.04,3,1,3,313,Lost Customers
12613,13-10-2011 14:59,57,10,6817.37,4,5,5,455,At Risk
12614,07-03-2011 10:22,278,1,315.6,2,1,2,212,Lost Customers
12615,07-12-2011 15:02,2,8,5740.98,5,4,5,545,At Risk
12616,05-09-2011 15:17,95,3,1131.1,3,3,3,333,At Risk
12617,10-11-2011 14:39,29,1,352.98,4,1,2,412,Lost Customers
12618,18-11-2011 11:10,22,1,177.31,4,1,1,411,Lost Customers
12619,23-11-2011 14:52,16,10,3781.38,5,5,5,555,At Risk
12620,25-11-2011 10:20,15,3,1339.41,5,3,4,534,At Risk
12621,08-12-2011 11:25,2,35,24311.2,5,5,5,555,At Risk
12622,21-04-2011 16:39,232,1,180.1,2,1,1,211,Lost Customers
12623,08-03-2011 13:50,276,7,3747.84,2,4,5,245,At Risk
12624,25-08-2011 15:04,106,2,641.13,3,2,3,323,Lost Customers
12625,12-05-2011 09:54,212,4,5164.88,2,3,5,235,At Risk
12626,16-11-2011 16:06,23,9,6620.48,4,5,5,455,At Risk
12627,29-11-2011 12:07,11,7,4478.53,5,4,5,545,At Risk
12628,05-12-2011 13:15,4,3,786.46,5,3,3,533,At Risk
12629,19-11-2010 09:18,386,2,1558.22,2,2,4,224,Lost Customers
12630,30-11-2011 10:48,10,2,1270.88,5,2,4,524,Lost Customers
12631,13-10-2011 13:53,57,6,3481.57,4,4,5,445,At Risk
12632,07-07-2010 09:39,521,2,804.88,1,2,3,123,Others
12633,12-10-2011 11:40,59,7,5678.16,4,4,5,445,At Risk
12634,22-06-2010 10:05,536,2,490,1,2,2,122,Others
12635,11-09-2011 11:04,90,4,2930.41,3,3,5,335,At Risk
12636,01-12-2009 09:55,739,1,141,1,1,1,111,Others
12637,03-10-2011 13:46,67,12,8283.81,3,5,5,355,At Risk
12638,06-11-2011 13:11,33,2,921.49,4,2,3,423,Lost Customers
12639,15-04-2011 12:48,239,3,1312.37,2,3,4,234,At Risk
12640,16-11-2011 11:52,24,3,1174.58,4,3,3,433,At Risk
12641,16-08-2011 13:26,115,1,185.9,3,1,1,311,Lost Customers
12642,14-11-2011 15:03,25,3,1013.26,4,3,3,433,At Risk
12643,03-08-2011 12:56,128,12,8304.82,3,5,5,355,At Risk
12644,02-08-2011 10:33,130,4,1918.49,3,3,4,334,At Risk
12645,06-11-2011 12:38,34,8,3539.3,4,4,5,445,At Risk
12646,05-12-2011 10:14,5,2,1346.97,5,2,4,524,Lost Customers
12647,17-11-2011 12:56,22,36,16955.55,4,5,5,455,At Risk
12648,08-07-2011 11:55,155,4,1112,3,3,3,333,At Risk
12649,24-08-2011 14:41,107,8,2294.65,3,4,4,344,At Risk
12650,06-12-2011 16:34,3,1,314.44,5,1,2,512,Lost Customers
12651,09-01-2011 12:46,335,4,377.75,2,3,2,232,At Risk
12652,12-01-2011 15:00,331,2,1017.03,2,2,3,223,Lost Customers
12653,14-07-2011 10:41,149,3,4160.83,3,3,5,335,At Risk
12654,29-11-2011 10:10,11,5,601.98,5,4,2,542,At Risk
12655,12-10-2010 09:17,424,1,261.35,1,1,1,111,Others
12656,22-11-2011 13:42,17,8,6407.83,5,4,5,545,At Risk
12657,28-11-2011 15:47,11,4,1643.18,5,3,4,534,At Risk
12658,21-11-2011 10:22,19,1,686.05,5,1,3,513,Lost Customers
12659,10-11-2011 11:53,30,1,91.68,4,1,1,411,Lost Customers
12660,28-11-2011 13:26,11,1,245.1,5,1,1,511,Lost Customers
12661,29-09-2010 16:46,436,1,162,1,1,1,111,Others
12662,09-12-2011 11:59,1,20,6726.54,5,5,5,555,At Risk
12663,25-03-2010 09:40,625,2,239.4,1,2,1,121,Others
12664,01-12-2011 17:07,8,11,6070.04,5,5,5,555,At Risk
12665,19-01-2011 08:34,325,3,313.6,2,3,2,232,At Risk
12666,10-11-2010 16:40,394,1,1248.42,2,1,4,214,Lost Customers
12667,12-10-2011 17:00,58,1,620.13,4,1,3,413,Lost Customers
12668,28-11-2011 10:56,12,10,11383.03,5,5,5,555,At Risk
12669,12-07-2011 09:54,151,3,2744.03,3,3,4,334,At Risk
12670,29-11-2011 15:23,10,7,3760.29,5,4,5,545,At Risk
12671,12-04-2010 16:30,606,1,2622.481,1,1,4,114,Others
12672,14-01-2011 09:20,330,2,437.05,2,2,2,222,Lost Customers
12673,04-12-2011 13:55,5,3,1230.02,5,3,4,534,At Risk
12674,01-11-2011 12:12,39,4,1970.6,4,3,4,434,At Risk
12675,04-06-2010 09:49,554,2,957.25,1,2,3,123,Others
12676,15-11-2011 12:25,25,11,2843.09,4,5,4,454,At Risk
12677,02-06-2010 14:30,555,2,395.1,1,2,2,122,Others
12678,28-10-2011 13:04,42,21,34281.18,4,5,5,455,At Risk
12679,12-10-2011 12:30,59,4,1113.02,4,3,3,433,At Risk
12680,09-12-2011 12:50,1,4,880.81,5,3,3,533,At Risk
12681,25-11-2011 11:33,15,45,29834.76,5,5,5,555,At Risk
12682,06-12-2011 10:00,4,52,22950.22,5,5,5,555,At Risk
12683,05-12-2011 16:31,4,21,11633.7,5,5,5,555,At Risk
12684,02-12-2011 09:53,8,7,2283.63,5,4,4,544,At Risk
12685,11-11-2011 13:46,28,6,2863.08,4,4,4,444,At Risk
12686,03-12-2010 09:51,372,1,89.14,2,1,1,211,Lost Customers
12687,16-08-2010 12:12,481,2,2138.91,1,2,4,124,Others
12688,18-08-2011 08:49,114,1,4873.81,3,1,5,315,Lost Customers
12689,14-11-2011 08:31,26,2,1247.61,4,2,4,424,Lost Customers
12690,18-05-2011 09:09,206,1,389.01,2,1,2,212,Lost Customers
12691,11-11-2011 16:49,28,7,1170.4,4,4,3,443,At Risk
12692,12-03-2010 14:02,637,1,110.95,1,1,1,111,Others
12693,04-08-2011 17:51,127,7,1703.02,3,4,4,344,At Risk
12694,30-09-2011 13:06,70,3,1843.35,3,3,4,334,At Risk
12695,02-12-2011 13:22,7,7,1407.12,5,4,4,544,At Risk
12696,01-10-2010 10:43,435,2,851.91,1,2,3,123,Others
12697,11-11-2011 08:47,29,3,957.59,4,3,3,433,At Risk
12698,28-04-2010 15:51,590,1,339.75,1,1,2,112,Others
12699,18-10-2010 12:07,418,1,638.11,1,1,3,113,Others
12700,02-12-2011 10:47,8,4,4939.99,5,3,5,535,At Risk
12701,21-09-2011 10:47,80,6,2446.41,3,4,4,344,At Risk
12702,20-11-2011 10:36,20,1,219,4,1,1,411,Lost Customers
12703,29-09-2011 17:52,71,4,1006.53,3,3,3,333,At Risk
12704,02-12-2011 13:15,7,8,2340.84,5,4,4,544,At Risk
12705,24-11-2011 13:17,15,14,11762.1,5,5,5,555,At Risk
12707,21-02-2011 08:38,292,1,603.42,2,1,2,212,Lost Customers
12708,10-11-2011 09:52,30,18,5117.66,4,5,5,455,At Risk
12709,24-11-2011 15:38,15,34,30291.76,5,5,5,555,At Risk
12710,04-09-2011 12:00,97,3,1149.02,3,3,3,333,At Risk
12711,07-04-2010 11:59,612,2,1339.05,1,2,4,124,Others
12712,11-11-2011 08:19,29,21,6723.03,4,5,5,455,At Risk
12713,09-12-2011 12:16,1,1,848.55,5,1,3,513,Lost Customers
12714,30-11-2011 15:43,9,12,14093.71,5,5,5,555,At Risk
12715,25-08-2011 15:22,106,1,343.36,3,1,2,312,Lost Customers
12716,06-12-2011 08:55,4,2,1053.49,5,2,3,523,Lost Customers
12717,11-07-2011 14:47,151,3,1308.91,3,3,4,334,At Risk
12718,29-09-2011 16:38,71,1,238.25,3,1,1,311,Lost Customers
12719,04-12-2011 13:45,5,2,644.95,5,2,3,523,Lost Customers
12720,07-12-2011 08:03,3,30,7787.28,5,5,5,555,At Risk
12721,08-11-2011 12:13,32,8,4013.08,4,4,5,445,At Risk
12722,15-09-2011 14:50,85,4,997.63,3,3,3,333,At Risk
12723,06-12-2011 10:19,4,5,725.07,5,4,3,543,At Risk
12724,04-12-2011 16:02,5,7,2317.52,5,4,4,544,At Risk
12725,03-12-2010 15:45,371,4,2266.76,2,3,4,234,At Risk
12726,11-11-2011 13:35,28,11,4014.6,4,5,5,455,At Risk
12727,29-11-2011 11:46,11,10,5679.53,5,5,5,555,At Risk
12728,29-09-2011 15:31,71,5,1070.17,3,4,3,343,At Risk
12729,18-08-2011 11:40,114,1,453.01,3,1,2,312,Lost Customers
12730,06-07-2010 12:19,522,1,829.25,1,1,3,113,Others
12731,16-11-2011 11:59,24,17,25775.71,4,5,5,455,At Risk
12732,13-06-2011 11:33,180,1,236.26,3,1,1,311,Lost Customers
12733,19-04-2011 16:19,234,4,2424.87,2,3,4,234,At Risk
