Customer ID,Total_Revenue,Purchase_Frequency,CLV_Segment
12578,4642.45,4,Medium Value
12579,440.42,1,Low Value
12580,1052.9,2,Low Value
12581,197.71,1,Low Value
12582,1980.4,4,Low Value
12583,13591.58,27,High Value
12584,2338.15,9,Medium Value
12585,2040.1,2,Low Value
12586,2062.67,4,Low Value
12587,144.0,1,Low Value
12588,958.78,4,Low Value
12589,4695.66,8,Medium Value
12590,9864.26,2,High Value
12591,1338.95,3,Low Value
12592,2582.66,5,Medium Value
12593,418.09999999999997,3,Low Value
12594,5090.110000000001,15,Medium Value
12595,299.02,1,Low Value
12596,618.27,2,Low Value
12597,3811.22,4,Medium Value
12598,4534.09,11,Medium Value
12599,2296.72,13,Medium Value
12600,4967.42,21,Medium Value
12601,681.26,6,Low Value
12602,153.12,1,Low Value
12603,739.1999999999999,1,Low Value
12604,254.18,2,Low Value
12605,1232.95,4,Low Value
12606,21.0,1,Low Value
12607,1579.51,1,Low Value
12608,415.79,1,Low Value
12609,3435.86,9,Medium Value
12610,2099.54,5,Low Value
12611,1193.32,1,Low Value
12612,704.0400000000001,1,Low Value
12613,6817.37,10,High Value
12614,315.6,1,Low Value
12615,5740.98,8,High Value
12616,1131.1,3,Low Value
12617,352.98,1,Low Value
12618,177.31,1,Low Value
12619,3781.38,10,Medium Value
12620,1339.41,3,Low Value
12621,24311.2,35,High Value
12622,180.1,1,Low Value
12623,3747.84,7,Medium Value
12624,641.13,2,Low Value
12625,5164.88,4,Medium Value
12626,6620.48,9,High Value
12627,4478.53,7,Medium Value
12628,786.46,3,Low Value
12629,1558.22,2,Low Value
12630,1270.88,2,Low Value
12631,3481.57,6,Medium Value
12632,804.88,2,Low Value
12633,5678.16,7,High Value
12634,490.0,2,Low Value
12635,2930.41,4,Medium Value
12636,141.0,1,Low Value
12637,8283.81,12,High Value
12638,921.49,2,Low Value
12639,1312.37,3,Low Value
12640,1174.58,3,Low Value
12641,185.9,1,Low Value
12642,1013.26,3,Low Value
12643,8304.82,12,High Value
12644,1918.49,4,Low Value
12645,3539.3,8,Medium Value
12646,1346.97,2,Low Value
12647,16955.55,36,High Value
12648,1112.0,4,Low Value
12649,2294.65,8,Medium Value
12650,314.44,1,Low Value
12651,377.75,4,Low Value
12652,1017.03,2,Low Value
12653,4160.83,3,Medium Value
12654,601.98,5,Low Value
12655,261.35,1,Low Value
12656,6407.83,8,High Value
12657,1643.18,4,Low Value
12658,686.05,1,Low Value
12659,91.68,1,Low Value
12660,245.1,1,Low Value
12661,162.0,1,Low Value
12662,6726.54,20,High Value
12663,239.4,2,Low Value
12664,6070.04,11,High Value
12665,313.6,3,Low Value
12666,1248.42,1,Low Value
12667,620.13,1,Low Value
12668,11383.03,10,High Value
12669,2744.0299999999997,3,Medium Value
12670,3760.29,7,Medium Value
12671,2622.481,1,Medium Value
12672,437.05,2,Low Value
12673,1230.02,3,Low Value
12674,1970.6,4,Low Value
12675,957.25,2,Low Value
12676,2843.09,11,Medium Value
12677,395.1,2,Low Value
12678,34281.18,21,High Value
12679,1113.02,4,Low Value
12680,880.81,4,Low Value
12681,29834.76,45,High Value
12682,22950.22,52,High Value
12683,11633.7,21,High Value
12684,2283.63,7,Medium Value
12685,2863.08,6,Medium Value
12686,89.14,1,Low Value
12687,2138.91,2,Low Value
12688,4873.8099999999995,1,Medium Value
12689,1247.61,2,Low Value
12690,389.01,1,Low Value
12691,1170.4,7,Low Value
12692,110.95,1,Low Value
12693,1703.02,7,Low Value
12694,1843.35,3,Low Value
12695,1407.1200000000001,7,Low Value
12696,851.91,2,Low Value
12697,957.59,3,Low Value
12698,339.75,1,Low Value
12699,638.11,1,Low Value
12700,4939.99,4,Medium Value
12701,2446.41,6,Medium Value
12702,219.0,1,Low Value
12703,1006.53,4,Low Value
12704,2340.84,8,Medium Value
12705,11762.1,14,High Value
12707,603.42,1,Low Value
12708,5117.66,18,Medium Value
12709,30291.76,34,High Value
12710,1149.02,3,Low Value
12711,1339.05,2,Low Value
12712,6723.03,21,High Value
12713,848.55,1,Low Value
12714,14093.71,12,High Value
12715,343.36,1,Low Value
12716,1053.49,2,Low Value
12717,1308.91,3,Low Value
12718,238.25,1,Low Value
12719,644.95,2,Low Value
12720,7787.28,30,High Value
12721,4013.08,8,Medium Value
12722,997.63,4,Low Value
12723,725.07,5,Low Value
12724,2317.52,7,Medium Value
12725,2266.76,4,Medium Value
12726,4014.6,11,Medium Value
12727,5679.53,10,High Value
12728,1070.17,5,Low Value
12729,453.01,1,Low Value
12730,829.25,1,Low Value
12731,25775.71,17,High Value
12732,236.26000000000002,1,Low Value
12733,2424.87,4,Medium Value
12734,639.65,3,Low Value
12735,779.5699999999999,2,Low Value
12736,234.0,1,Low Value
12737,3710.5,2,Medium Value
12738,155.35,1,Low Value
12739,2726.73,4,Medium Value
12740,427.6,1,Low Value
12741,406.07,2,Low Value
12742,1201.52,1,Low Value
12743,540.13,2,Low Value
12744,25317.06,11,High Value
12745,925.41,3,Low Value
12746,254.55,1,Low Value
12747,8898.48,26,High Value
12748,53539.64,336,High Value
12749,6897.36,9,High Value
12750,275.88,1,Low Value
12751,268.27,1,Low Value
12752,4366.78,1,Medium Value
12753,21429.39,6,High Value
12754,3010.74,3,Medium Value
12755,5236.259999999999,11,Medium Value
12756,112.07999999999998,1,Low Value
12757,7834.650000000001,13,High Value
12758,9903.24,7,High Value
12759,5020.74,8,Medium Value
12760,347.8,1,Low Value
12761,782.95,2,Low Value
12762,1898.52,2,Low Value
12763,494.08,2,Low Value
12764,1693.88,1,Low Value
12765,1404.58,6,Low Value
12766,8918.99,9,High Value
12767,949.82,1,Low Value
12768,168.69000000000003,1,Low Value
12769,1143.6,1,Low Value
12770,3246.45,2,Medium Value
12771,282.3,1,Low Value
12772,892.47,1,Low Value
12773,124.25,1,Low Value
12774,98.7,1,Low Value
12775,1686.12,7,Low Value
12776,55.5,1,Low Value
12777,519.45,1,Low Value
12778,1775.68,9,Low Value
12779,6474.11,14,High Value
12780,337.4,1,Low Value
12781,826.74,2,Low Value
12782,4618.24,11,Medium Value
12783,2225.91,6,Low Value
12784,1763.15,3,Low Value
12785,1100.4,3,Low Value
12786,728.5,1,Low Value
12787,862.18,4,Low Value
12788,444.9,4,Low Value
12789,273.35,3,Low Value
12790,591.85,2,Low Value
12791,863.51,6,Low Value
12792,827.01,2,Low Value
12793,885.53,3,Low Value
12794,860.41,2,Low Value
12795,430.48,1,Low Value
12796,381.0,1,Low Value
12797,552.08,2,Low Value
12798,8510.93,4,High Value
12799,219.35,1,Low Value
12800,584.25,3,Low Value
12801,1071.82,1,Low Value
12802,2416.42,7,Medium Value
12803,1092.81,1,Low Value
12804,325.37,2,Low Value
12805,1434.95,4,Low Value
12806,2878.96,4,Medium Value
12807,330.35,1,Low Value
12808,776.7,5,Low Value
12809,1755.94,3,Low Value
12810,534.99,2,Low Value
12811,1033.9,5,Low Value
12812,229.64000000000001,1,Low Value
12813,1687.8,3,Low Value
12814,125.92,1,Low Value
12815,1063.46,2,Low Value
12816,572.2,2,Low Value
12817,690.98,3,Low Value
12818,1542.08,1,Low Value
12819,540.52,1,Low Value
12820,2689.52,11,Medium Value
12821,220.8,2,Low Value
12822,948.88,2,Low Value
12823,6501.5,18,High Value
12824,397.12,1,Low Value
12825,518.63,2,Low Value
12826,2800.75,12,Medium Value
12827,430.15000000000003,3,Low Value
12828,1018.71,6,Low Value
12829,385.3,3,Low Value
12830,6814.64,6,High Value
12831,451.11,3,Low Value
12832,383.03,2,Low Value
12833,417.38,1,Low Value
12834,312.38,1,Low Value
12835,5996.83,41,High Value
12836,6559.7300000000005,15,High Value
12837,662.66,2,Low Value
12838,2975.91,10,Medium Value
12839,9669.12,26,High Value
12840,4041.97,7,Medium Value
12841,6958.2,40,High Value
12842,1917.99,4,Low Value
12843,6583.36,30,High Value
12844,648.6,4,Low Value
12845,354.09,4,Low Value
12846,15.58,1,Low Value
12847,1609.0,2,Low Value
12848,208.0,1,Low Value
12849,3042.47,6,Medium Value
12850,330.0,1,Low Value
12851,280.76,2,Low Value
12852,311.55,1,Low Value
12853,3907.5,11,Medium Value
12854,2970.9700000000003,7,Medium Value
12855,612.84,4,Low Value
12856,2170.78,6,Low Value
12857,3688.0,6,Medium Value
12858,147.27,1,Low Value
12859,575.1,1,Low Value
12860,54.22,1,Low Value
12861,68.25,1,Low Value
12862,984.62,2,Low Value
12863,2792.5499999999997,6,Medium Value
12864,299.57,2,Low Value
12865,3323.47,4,Medium Value
12866,1227.35,3,Low Value
12867,7829.26,13,High Value
12868,2043.76,8,Low Value
12869,337.66999999999996,1,Low Value
12870,1676.95,3,Low Value
12871,744.02,3,Low Value
12872,3283.96,12,Medium Value
12873,2027.3,3,Low Value
12874,948.42,2,Low Value
12875,1356.99,5,Low Value
12876,4081.79,4,Medium Value
12877,2942.14,20,Medium Value
12878,854.99,2,Low Value
12879,573.22,3,Low Value
12880,640.13,2,Low Value
12881,298.0,1,Low Value
12882,1463.04,2,Low Value
12883,703.47,4,Low Value
12884,309.05,1,Low Value
12885,1175.22,3,Low Value
12886,1378.4,2,Low Value
12887,222.4,1,Low Value
12888,354.12,2,Low Value
12889,385.46000000000004,4,Low Value
12890,706.02,2,Low Value
12891,840.5,11,Low Value
12892,263.38,1,Low Value
12893,176.55,1,Low Value
12894,157.35,1,Low Value
12895,372.8,2,Low Value
12897,514.25,4,Low Value
12898,296.21000000000004,2,Low Value
12899,366.4,1,Low Value
12900,340.33,1,Low Value
12901,17654.54,28,High Value
12902,138.68,1,Low Value
12903,833.53,1,Low Value
12904,496.06,2,Low Value
12905,1018.42,2,Low Value
12906,2919.81,5,Medium Value
12907,508.91,2,Low Value
12908,1776.0,5,Low Value
12909,3103.19,8,Medium Value
12910,5796.52,13,High Value
12911,1651.72,1,Low Value
12912,1662.3,5,Low Value
12913,6283.24,13,High Value
12914,223.98,1,Low Value
12915,975.1,4,Low Value
12916,4479.73,7,Medium Value
12917,4359.2,6,Medium Value
12918,10953.5,1,High Value
12919,1335.19,6,Low Value
12920,486.64,4,Low Value
12921,35233.24,74,High Value
12922,405.38,1,Low Value
12923,770.42,3,Low Value
12924,2469.4,12,Medium Value
12925,729.3299999999999,3,Low Value
12926,1523.97,4,Low Value
12927,197.31,1,Low Value
12928,4304.89,12,Medium Value
12929,117.85,1,Low Value
12930,415.8,2,Low Value
12931,92347.34,57,High Value
12932,1698.56,8,Low Value
12933,1636.6299999999999,8,Low Value
12934,181.65,1,Low Value
12935,4243.86,15,Medium Value
12936,1063.9,4,Low Value
12937,3097.61,9,Medium Value
12938,114.14,1,Low Value
12939,25264.8,20,High Value
12940,899.69,2,Low Value
12941,377.49,1,Low Value
12942,675.6,3,Low Value
12943,496.5,2,Low Value
12944,604.51,2,Low Value
12945,900.11,2,Low Value
12946,324.45,1,Low Value
12947,1603.99,6,Low Value
12948,2317.43,9,Medium Value
12949,15526.7,22,High Value
12950,1843.0,3,Low Value
12951,3213.7200000000003,15,Medium Value
12952,1387.79,4,Low Value
12953,828.8100000000001,2,Low Value
12954,162.45,1,Low Value
12955,4757.16,11,Medium Value
12956,521.89,4,Low Value
12957,8706.97,13,High Value
12958,467.34,2,Low Value
12959,150.95,1,Low Value
12960,1322.07,4,Low Value
12961,211.99,1,Low Value
12962,266.39,2,Low Value
12963,3235.79,12,Medium Value
12964,132.24,1,Low Value
12965,769.8100000000001,1,Low Value
12966,160.18,1,Low Value
12967,2938.52,3,Medium Value
12968,135.95,1,Low Value
12969,122.45,1,Low Value
12970,1453.6,10,Low Value
12971,15704.6,116,High Value
12972,1161.2,4,Low Value
12973,385.55,1,Low Value
12974,408.95,2,Low Value
12975,2100.09,6,Low Value
12976,3156.38,8,Medium Value
12977,513.88,4,Low Value
12978,2502.82,5,Medium Value
12979,517.7,1,Low Value
12980,16245.78,21,High Value
12981,372.21999999999997,2,Low Value
12982,2744.81,8,Medium Value
12983,490.08000000000004,1,Low Value
12984,97.5,1,Low Value
12985,1239.38,2,Low Value
12986,2729.84,10,Medium Value
12987,1312.21,5,Low Value
12988,505.82,1,Low Value
12989,13551.75,33,High Value
12990,955.5,7,Low Value
12991,764.82,3,Low Value
12992,93.35000000000001,1,Low Value
12993,1259.6299999999999,8,Low Value
12994,974.4200000000001,3,Low Value
12995,211.32,1,Low Value
12996,355.5,1,Low Value
12997,2110.91,8,Low Value
12998,920.08,3,Low Value
12999,455.88,3,Low Value
13000,1032.5,4,Low Value
13001,24042.65,33,High Value
13002,414.13,3,Low Value
13003,149.05,3,Low Value
13004,11650.85,36,High Value
13005,999.68,4,Low Value
13006,81.57,1,Low Value
13007,175.25,1,Low Value
13008,612.13,3,Low Value
13009,234.0,1,Low Value
13010,330.12,2,Low Value
13011,50.550000000000004,1,Low Value
13012,2957.83,11,Medium Value
13013,11097.43,29,High Value
13014,5381.08,11,Medium Value
13015,6579.78,11,High Value
13016,789.89,3,Low Value
13017,204.0,1,Low Value
13018,9763.16,35,High Value
13019,1229.95,6,Low Value
13020,618.96,2,Low Value
13021,4887.24,17,Medium Value
13022,65.3,1,Low Value
13023,1449.03,3,Low Value
13024,555.87,2,Low Value
13025,323.39,1,Low Value
13026,1733.08,9,Low Value
13027,17239.2,19,High Value
13028,661.3199999999999,2,Low Value
13029,1927.3,5,Low Value
13030,752.4399999999999,2,Low Value
13031,3292.84,5,Medium Value
13032,2815.96,9,Medium Value
13033,220.55,2,Low Value
13034,756.82,3,Low Value
13035,1364.2,3,Low Value
13036,307.1,1,Low Value
13037,3914.9500000000003,12,Medium Value
13038,908.46,3,Low Value
13039,1010.73,4,Low Value
13040,676.99,2,Low Value
13041,799.13,4,Low Value
13042,1488.59,3,Low Value
13043,516.42,1,Low Value
13044,4848.05,11,Medium Value
13045,808.92,3,Low Value
13046,949.25,3,Low Value
13047,8428.53,24,High Value
13048,4049.13,9,Medium Value
13049,1408.24,4,Low Value
13050,11986.52,35,High Value
13051,155.8,2,Low Value
13052,3119.33,7,Medium Value
13053,127.65,1,Low Value
13055,2321.11,4,Medium Value
13056,209.48,1,Low Value
13057,709.59,3,Low Value
13058,271.40000000000003,3,Low Value
13059,2291.77,10,Medium Value
13060,307.53,1,Low Value
13061,248.61,1,Low Value
13062,346.98,1,Low Value
13063,188.4,1,Low Value
13064,1666.8400000000001,6,Low Value
13065,1055.05,5,Low Value
13066,470.8,2,Low Value
13067,508.51,3,Low Value
13068,344.0,2,Low Value
13069,9284.45,38,High Value
13070,751.7,4,Low Value
13071,129.22,1,Low Value
13072,177.15,1,Low Value
13073,418.08,2,Low Value
13074,1378.74,4,Low Value
13075,919.61,1,Low Value
13076,135.4,1,Low Value
13077,2740.65,11,Medium Value
13078,29018.06,57,High Value
13079,419.18,6,Low Value
13080,280.73,4,Low Value
13081,56838.37,28,High Value
13082,7335.75,21,High Value
13083,395.43,3,Low Value
13084,122.39999999999999,1,Low Value
13085,2433.28,8,Medium Value
13086,439.33000000000004,1,Low Value
13087,313.64,1,Low Value
13088,236.11,1,Low Value
13089,113416.91,203,High Value
13090,13091.74,24,High Value
13091,2321.82,3,Medium Value
13092,2140.28,12,Low Value
13093,54144.25,55,High Value
13094,2209.44,13,Low Value
13095,74.39999999999999,1,Low Value
13096,419.70000000000005,1,Low Value
13097,13324.1,28,High Value
13098,28882.44,28,High Value
13099,207.35999999999999,1,Low Value
13101,695.4,4,Low Value
13102,11380.1,37,High Value
13103,709.64,3,Low Value
13104,1709.1,9,Low Value
13105,72.0,1,Low Value
13106,603.46,2,Low Value
13107,5253.07,9,Medium Value
13108,748.46,2,Low Value
13109,1134.03,3,Low Value
13110,2957.4700000000003,12,Medium Value
13111,321.88000000000005,1,Low Value
13112,20.6,1,Low Value
13113,18230.07,37,High Value
13114,234.38,1,Low Value
13115,5494.7,10,High Value
13116,501.14,1,Low Value
13117,2255.66,18,Medium Value
13118,2415.41,9,Medium Value
13119,134.9,1,Low Value
13120,30.599999999999998,1,Low Value
13121,283.73,1,Low Value
13122,922.39,2,Low Value
13123,506.75,2,Low Value
13124,4641.66,4,Medium Value
13125,148.62,1,Low Value
13126,3774.81,13,Medium Value
13127,259.17,1,Low Value
13128,263.5,1,Low Value
13129,233.25,2,Low Value
13130,64.0,1,Low Value
13131,3313.77,7,Medium Value
13132,77.3,1,Low Value
13133,200.45000000000002,3,Low Value
13134,2475.23,6,Medium Value
13135,3371.45,2,Medium Value
13136,6274.56,13,High Value
13137,7586.94,16,High Value
13138,1274.01,7,Low Value
13139,8202.98,8,High Value
13140,1054.92,5,Low Value
13141,7656.08,17,High Value
13142,307.09,1,Low Value
13143,405.1,1,Low Value
13144,135.35,2,Low Value
13145,1128.52,7,Low Value
13146,228.91,1,Low Value
13147,712.8000000000001,4,Low Value
13148,8497.82,26,High Value
13149,1676.06,4,Low Value
13150,449.96999999999997,3,Low Value
13151,2465.21,3,Medium Value
13152,2146.38,7,Low Value
13153,486.22,1,Low Value
13154,1624.84,3,Low Value
13155,1370.48,6,Low Value
13156,1586.54,3,Low Value
13157,5687.36,9,High Value
13158,1508.18,5,Low Value
13159,1429.35,4,Low Value
13160,91.8,1,Low Value
13161,472.13,2,Low Value
13162,9275.49,16,High Value
13163,17.65,1,Low Value
13164,372.2,2,Low Value
13165,1451.16,3,Low Value
13166,875.93,2,Low Value
13167,1125.15,5,Low Value
13168,1840.73,5,Low Value
13169,840.08,3,Low Value
13170,108.81,1,Low Value
13171,468.41,3,Low Value
13172,69.6,1,Low Value
13173,2399.82,11,Medium Value
13174,7995.36,12,High Value
13175,831.45,2,Low Value
13176,481.49,1,Low Value
13177,512.2,2,Low Value
13178,14059.19,21,High Value
13179,572.3100000000001,1,Low Value
13180,86.10000000000001,1,Low Value
13181,359.69,1,Low Value
13182,121.18,1,Low Value
13183,7036.18,15,High Value
13184,1668.95,10,Low Value
13185,71.4,1,Low Value
13186,1575.89,3,Low Value
13187,341.36,4,Low Value
13188,114.60000000000001,1,Low Value
13189,260.68,2,Low Value
13190,570.66,3,Low Value
13191,164.69,1,Low Value
13192,2558.58,6,Medium Value
13193,112.08,1,Low Value
13194,472.78,2,Low Value
13195,136.73,1,Low Value
13196,3068.84,7,Medium Value
13197,373.01000000000005,1,Low Value
13198,4974.2300000000005,8,Medium Value
13199,15964.210000000001,67,High Value
13200,870.09,4,Low Value
13201,1233.06,4,Low Value
13202,1580.3,7,Low Value
13203,2648.25,10,Medium Value
13204,966.6600000000001,1,Low Value
13205,2803.2,1,Medium Value
13206,8308.19,13,High Value
13207,535.86,4,Low Value
13208,1976.3,9,Low Value
13209,8509.51,13,High Value
13210,353.48,1,Low Value
13211,2618.77,10,Medium Value
13212,786.83,3,Low Value
13213,3851.52,11,Medium Value
13214,3264.23,7,Medium Value
13215,81.6,1,Low Value
13216,333.74,1,Low Value
13217,666.48,4,Low Value
13218,62.63999999999999,1,Low Value
13219,76.23,1,Low Value
13220,1336.0900000000001,5,Low Value
13221,847.41,2,Low Value
13222,88.5,1,Low Value
13223,969.1200000000001,6,Low Value
13224,2155.95,2,Low Value
13225,16260.07,16,High Value
13226,312.46,2,Low Value
13227,257.7,1,Low Value
13228,358.0,1,Low Value
13229,160.95,1,Low Value
13230,6120.01,30,High Value
13232,1328.35,7,Low Value
13233,1176.46,4,Low Value
13234,346.5,2,Low Value
13235,1031.07,1,Low Value
13236,744.85,2,Low Value
13237,643.0,1,Low Value
13238,1006.63,6,Low Value
13239,1594.69,5,Low Value
13240,1475.79,8,Low Value
13241,112.53,1,Low Value
13242,699.4,7,Low Value
13243,1220.38,5,Low Value
13244,121.74000000000001,1,Low Value
13245,989.22,2,Low Value
13246,3351.75,11,Medium Value
13247,501.12,4,Low Value
13248,465.68,2,Low Value
13249,1608.93,9,Low Value
13250,253.09,2,Low Value
13251,252.68,1,Low Value
13252,399.3,2,Low Value
13253,2951.11,4,Medium Value
13254,51.410000000000004,1,Low Value
13255,678.76,3,Low Value
13257,149.75,1,Low Value
13258,1009.43,5,Low Value
13259,1402.54,9,Low Value
13260,557.62,1,Low Value
13261,944.1,2,Low Value
13262,573.45,3,Low Value
13263,8676.2,39,High Value
13264,722.5600000000001,1,Low Value
13265,2092.66,5,Low Value
13266,6135.04,19,High Value
13267,9429.81,36,High Value
13268,3174.75,11,Medium Value
13269,8537.32,28,High Value
13270,590.0,1,Low Value
13271,211.49,1,Low Value
13272,276.56,2,Low Value
13273,138.98,1,Low Value
13274,360.85,1,Low Value
13275,238.86,2,Low Value
13276,1891.91,5,Low Value
13277,523.3,7,Low Value
13278,1435.85,4,Low Value
13279,137.75,1,Low Value
13280,2293.33,7,Medium Value
13281,350.85,1,Low Value
13282,1313.19,4,Low Value
13283,373.36,4,Low Value
13284,201.19,1,Low Value
13285,3364.59,6,Medium Value
13286,734.91,1,Low Value
13287,781.59,3,Low Value
13288,927.61,5,Low Value
13289,307.95,1,Low Value
